id_facilitador,nome_facilitador,email_facilitador,frente_facilitador,id_turma
101,Anna,anna@email.com,soft,201
102,Jarros,jarros@email.com,tech,201
104,Bruna,bruna@email.com,soft,202
103,Leonardo,leonardo@email.com,tech,202
105,Felipe,felipe@email.com,soft,203
106,Inara,inara@email.com,tech,203
107,Gabriel,gabriel@email.com,soft,204
108,Gustavo,gustavo@email.com,tech,204
109,Vivian,vivian@email.com,soft,205
110,Lucas,lucas@email.com,tech,205
111,Malu,malu@email.com,soft,206
112,Tiago,tiago@email.com,tech,206
113,Bruno,bruno@email.com,soft,207
114,Hudson,hudson@email.com,tech,207
